rain,temp,aqi,demand_drop,curfew,hourly_income,daily_hours,risk_probability
0.0,32.8,142.0,0.0,0,79.17,8,0.2141
0.0,31.8,177.0,10.0,0,75.46,8,0.2155
0.0,28.8,164.0,8.0,0,64.63,7,0.2322
0.0,28.7,156.0,14.0,0,89.17,11,0.2271
0.0,29.5,129.0,8.0,0,104.84,10,0.2269
0.0,28.8,129.0,8.0,0,66.11,10,0.2289
0.0,28.8,123.0,0.0,0,63.21,7,0.2058
0.0,28.0,172.0,5.0,0,75.94,8,0.2006
0.0,27.8,156.0,14.0,0,66.63,6,0.2175
0.0,27.7,162.0,7.0,0,70.43,4,0.2146
0.3,28.7,121.0,10.0,0,64.39,9,0.1938
0.5,25.7,178.0,9.0,0,104.59,6,0.2081
0.2,24.3,170.0,4.0,0,65.55,10,0.1993
0.0,24.2,133.0,7.0,0,81.91,5,0.1829
0.0,25.4,131.0,6.0,0,83.93,6,0.2258
0.0,27.0,131.0,6.0,0,66.47,9,0.2011
0.0,31.9,138.0,9.0,0,75.67,5,0.241
0.0,28.8,151.0,10.0,0,71.98,7,0.1675
0.0,28.6,146.0,13.0,0,89.12,9,0.1889
0.0,26.4,137.0,7.0,0,108.59,5,0.2007
0.0,25.6,157.0,0.0,0,65.35,8,0.2227
0.0,27.0,128.0,10.0,0,76.64,7,0.208
0.0,29.1,138.0,9.0,0,97.49,7,0.2062
0.0,29.9,142.0,0.0,0,89.36,10,0.1775
0.0,27.2,147.0,0.0,0,81.84,10,0.1769
0.0,27.6,167.0,11.0,0,91.11,6,0.2065
0.0,27.3,132.0,12.0,0,90.2,7,0.1727
0.0,28.8,151.0,10.0,0,101.21,9,0.1894
0.07,27.6,156.0,6.0,0,62.17,9,0.21
0.0,28.7,123.0,0.0,0,92.68,6,0.1804
0.0,28.4,156.0,14.0,0,102.23,7,0.2321
0.0,26.3,130.0,10.0,0,73.14,9,0.2245
0.0,26.6,124.0,13.0,0,70.7,6,0.1686
0.0,27.6,177.0,10.0,0,64.82,7,0.1814
0.0,26.2,178.0,8.0,0,88.37,6,0.1543
0.0,25.8,169.0,13.0,0,109.95,9,0.1843
0.0,24.7,138.0,9.0,0,86.06,11,0.2153
0.0,24.8,126.0,4.0,0,100.04,7,0.1917
0.0,25.6,161.0,14.0,0,62.21,7,0.2092
0.0,27.5,146.0,13.0,0,74.97,9,0.1696
0.0,28.1,127.0,7.0,0,66.65,7,0.216
0.0,28.7,150.0,7.0,0,98.32,9,0.1889
0.0,27.7,122.0,12.0,0,92.61,10,0.2002
0.0,28.1,175.0,11.0,0,64.92,8,0.1981
0.0,26.6,136.0,14.0,0,86.44,8,0.1746
0.0,26.4,160.0,0.0,0,86.51,10,0.1769
0.0,26.9,139.0,6.0,0,68.19,8,0.2194
0.0,28.3,151.0,10.0,0,108.49,6,0.208
0.0,27.7,153.0,10.0,0,68.94,7,0.221
0.0,21.5,131.0,6.0,0,87.79,6,0.2065
0.0,23.8,178.0,8.0,0,79.95,7,0.2029
0.0,23.5,167.0,11.0,0,64.87,7,0.1655
0.0,23.3,176.0,3.0,0,92.46,7,0.1946
0.0,23.3,174.0,5.0,0,69.27,7,0.1995
0.0,23.2,156.0,14.0,0,77.93,8,0.2391
0.0,23.6,175.0,11.0,0,107.83,10,0.2137
0.0,23.5,125.0,6.0,0,63.22,9,0.2307
0.0,22.7,132.0,12.0,0,89.71,9,0.212
0.0,23.2,123.0,0.0,0,95.88,10,0.1858
0.0,23.0,140.0,9.0,0,82.87,5,0.2023
0.0,22.3,143.0,13.0,0,68.86,4,0.2047
0.0,23.8,136.0,14.0,0,100.81,8,0.1812
0.0,24.0,170.0,11.0,0,88.01,9,0.1923
0.0,23.4,141.0,5.0,0,82.01,5,0.1959
0.0,23.8,137.0,7.0,0,92.93,7,0.2321
0.0,23.7,153.0,10.0,0,103.77,8,0.1584
0.0,23.2,128.0,10.0,0,80.17,8,0.2241
0.0,23.6,168.0,5.0,0,105.34,5,0.1813
0.0,22.8,124.0,13.0,0,62.65,8,0.1726
0.0,22.7,179.0,14.0,0,89.46,4,0.2236
0.0,23.5,166.0,13.0,0,81.76,7,0.2146
0.0,23.9,132.0,12.0,0,65.23,8,0.2251
0.0,24.6,120.0,4.0,0,65.29,7,0.216
0.0,22.4,169.0,13.0,0,100.43,9,0.2412
0.0,18.2,162.0,7.0,0,102.06,4,0.2112
0.0,19.4,164.0,8.0,0,80.83,7,0.1969
0.0,19.4,166.0,13.0,0,65.25,9,0.2069
0.0,20.0,124.0,13.0,0,73.45,6,0.2249
0.0,20.1,142.0,0.0,0,94.54,10,0.1844
0.0,19.5,127.0,7.0,0,68.8,10,0.187
0.0,19.8,172.0,5.0,0,63.69,9,0.1938
0.0,18.6,157.0,0.0,0,108.74,4,0.1579
0.0,18.5,140.0,9.0,0,81.12,6,0.2028
0.0,18.0,124.0,13.0,0,79.72,8,0.1623
0.0,18.3,139.0,6.0,0,66.82,6,0.2011
0.0,19.2,140.0,9.0,0,72.97,9,0.2173
0.0,20.2,164.0,8.0,0,98.18,5,0.1905
0.0,17.6,158.0,6.0,0,78.16,8,0.2335
0.0,18.3,173.0,12.0,0,60.94,4,0.1708
0.0,20.8,148.0,1.0,0,103.78,6,0.2238
0.0,20.1,127.0,7.0,0,100.61,10,0.2135
0.0,20.9,163.0,6.0,0,69.16,5,0.1657
0.22,18.6,166.0,6.0,0,88.84,6,0.2542
0.0,16.9,154.0,4.0,0,84.97,7,0.1987
0.0,17.7,166.0,13.0,0,83.06,6,0.1825
0.0,18.3,150.0,7.0,0,74.54,6,0.1719
0.0,19.1,151.0,10.0,0,93.11,7,0.1956
0.0,18.4,146.0,13.0,0,83.72,9,0.1975
0.0,17.1,122.0,12.0,0,62.19,9,0.2021
0.0,15.9,126.0,4.0,0,63.13,7,0.194
0.0,15.8,122.0,12.0,0,96.64,8,0.2127
0.0,16.1,158.0,6.0,0,60.56,4,0.1922
0.0,16.0,139.0,6.0,0,98.62,11,0.1613
0.0,15.8,151.0,10.0,0,63.77,7,0.197
0.0,15.9,174.0,5.0,0,80.98,7,0.1527
0.0,15.8,135.0,7.0,0,67.86,5,0.2071
0.0,15.2,145.0,7.0,0,82.14,5,0.1804
0.0,13.1,165.0,8.0,0,93.04,6,0.2033
0.0,13.4,134.0,11.0,0,86.62,7,0.2263
0.0,14.0,125.0,6.0,0,67.42,8,0.181
0.0,14.3,137.0,7.0,0,75.54,7,0.2212
0.0,14.3,130.0,10.0,0,99.23,6,0.1913
0.0,14.8,176.0,3.0,0,97.46,12,0.2351
0.0,15.2,168.0,5.0,0,77.41,11,0.1927
0.0,15.7,158.0,6.0,0,97.75,11,0.1832
0.0,16.3,172.0,5.0,0,68.66,8,0.2137
0.0,13.0,168.0,5.0,0,64.38,8,0.1913
0.0,13.8,131.0,6.0,0,107.94,8,0.1832
0.0,12.6,174.0,5.0,0,70.66,8,0.1904
0.0,12.7,152.0,10.0,0,84.97,8,0.1991
0.0,13.1,168.0,5.0,0,99.39,8,0.2268
0.0,13.6,174.0,5.0,0,91.33,8,0.1613
0.0,11.6,139.0,6.0,0,76.61,7,0.2005
0.0,10.4,127.0,7.0,0,62.83,7,0.2125
0.0,10.3,134.0,11.0,0,63.9,12,0.2039
0.0,10.6,146.0,13.0,0,102.16,9,0.2262
0.0,13.0,169.0,13.0,0,64.02,9,0.1985
0.0,10.5,172.0,5.0,0,82.09,11,0.1963
0.0,8.25,120.0,4.0,0,71.23,8,0.2118
0.0,11.4,151.0,10.0,0,100.14,7,0.202
0.0,11.8,145.0,7.0,0,75.66,5,0.1922
0.0,11.4,133.0,7.0,0,103.43,7,0.2103
0.0,9.9,127.0,7.0,0,102.04,8,0.1869
0.0,9.65,140.0,9.0,0,96.95,8,0.1878
0.0,10.7,177.0,10.0,0,102.86,6,0.1894
0.0,7.0,139.0,6.0,0,70.25,7,0.2271
0.0,10.3,151.0,10.0,0,92.51,8,0.1356
0.0,11.5,162.0,7.0,0,94.89,5,0.2079
0.0,9.9,142.0,0.0,0,66.74,9,0.2007
0.0,12.6,178.0,8.0,0,98.1,7,0.1664
0.0,11.9,178.0,8.0,0,91.88,5,0.2062
0.0,13.1,135.0,7.0,0,96.45,9,0.2095
0.0,14.4,150.0,7.0,0,78.88,9,0.2118
0.0,12.85,138.0,9.0,0,77.29,8,0.147
0.0,14.8,137.0,7.0,0,78.35,5,0.2273
0.0,15.7,122.0,12.0,0,106.48,8,0.1852
0.0,12.5,157.0,0.0,0,74.32,7,0.2137
0.0,13.7,150.0,7.0,0,70.04,7,0.2148
0.0,16.8,123.0,0.0,0,73.14,8,0.1825
0.0,16.1,137.0,7.0,0,95.32,8,0.2132
0.0,13.8,174.0,5.0,0,77.39,8,0.1923
0.0,13.5,134.0,11.0,0,103.8,8,0.1586
0.0,13.0,129.0,8.0,0,100.58,11,0.2234
0.0,10.0,149.0,4.0,0,93.19,7,0.1845
0.0,13.3,179.0,14.0,0,76.91,10,0.1829
0.0,12.6,135.0,7.0,0,69.83,6,0.1919
0.0,14.3,160.0,0.0,0,71.08,6,0.2054
0.0,15.8,166.0,13.0,0,87.1,8,0.1989
0.0,17.7,134.0,11.0,0,84.24,8,0.211
0.0,16.0,164.0,8.0,0,104.26,4,0.1732
0.0,15.9,142.0,0.0,0,70.08,5,0.1852
0.0,16.3,158.0,6.0,0,87.92,6,0.1977
0.0,17.3,158.0,6.0,0,100.32,9,0.238
0.0,18.4,152.0,10.0,0,66.21,5,0.1977
0.0,20.7,125.0,6.0,0,76.33,10,0.2217
0.01,23.0,170.0,11.0,0,82.3,5,0.2008
0.0,16.0,139.0,6.0,0,96.32,7,0.1903
0.0,16.3,131.0,6.0,0,78.37,6,0.1951
0.0,15.8,122.0,12.0,0,64.96,6,0.1966
0.0,16.2,155.0,1.0,0,64.38,8,0.2121
0.0,16.7,161.0,14.0,0,82.82,10,0.2275
0.0,20.1,121.0,4.0,0,63.66,6,0.2072
0.0,17.5,151.0,10.0,0,109.1,7,0.2237
0.0,18.3,134.0,11.0,0,88.07,8,0.1807
0.0,20.1,159.0,13.0,0,106.02,8,0.1917
0.38,19.7,130.0,5.0,0,60.28,4,0.1855
0.0,18.0,161.0,14.0,0,73.51,5,0.2063
0.0,18.1,143.0,13.0,0,72.04,5,0.1928
0.0,18.0,176.0,3.0,0,74.54,5,0.2146
0.0,15.5,128.0,10.0,0,80.3,8,0.1814
0.0,17.9,140.0,9.0,0,109.55,8,0.2009
0.0,19.5,127.0,7.0,0,86.8,8,0.2137
0.0,19.9,175.0,11.0,0,85.59,8,0.1587
0.0,19.5,173.0,12.0,0,70.77,8,0.2424
0.0,22.7,135.0,7.0,0,107.72,9,0.1943
0.0,23.8,160.0,0.0,0,102.51,6,0.1595
0.0,24.0,169.0,13.0,0,63.99,9,0.2032
0.0,23.0,153.0,10.0,0,75.14,8,0.2007
0.0,25.0,152.0,10.0,0,89.35,10,0.1984
0.0,22.2,135.0,7.0,0,95.61,9,0.2198
0.0,22.6,126.0,4.0,0,75.24,7,0.2149
0.0,23.6,174.0,5.0,0,107.22,4,0.206
0.0,22.7,174.0,5.0,0,109.36,10,0.209
0.0,24.0,158.0,6.0,0,78.89,7,0.1979
0.0,24.0,140.0,9.0,0,77.89,9,0.2355
0.0,23.6,141.0,5.0,0,104.01,9,0.1704
0.0,26.3,164.0,8.0,0,106.49,4,0.2028
0.0,27.0,174.0,5.0,0,77.5,8,0.2013
0.0,28.1,173.0,12.0,0,67.16,7,0.2163
0.0,28.0,167.0,11.0,0,77.8,7,0.1831
0.0,29.0,159.0,13.0,0,96.43,7,0.1651
0.0,26.0,125.0,6.0,0,84.15,9,0.2031
0.0,33.6,130.0,10.0,0,61.34,6,0.2056
0.0,32.6,174.0,5.0,0,84.14,7,0.2298
0.0,30.9,156.0,14.0,0,72.75,7,0.1746
0.0,31.0,121.0,4.0,0,77.05,10,0.2231
0.0,28.1,126.0,4.0,0,66.41,6,0.2473
0.0,28.4,160.0,0.0,0,82.19,8,0.1924
0.0,30.0,120.0,4.0,0,94.51,6,0.1742
0.0,32.1,130.0,10.0,0,92.69,10,0.1919
0.0,30.8,153.0,10.0,0,102.97,4,0.2003
0.0,41.2,162.0,7.0,0,98.46,10,0.2113
0.2,29.0,133.0,10.0,0,70.05,9,0.1882
0.0,28.0,111.0,7.0,0,84.29,8,0.2311
0.0,28.0,136.0,14.0,0,79.25,8,0.1777
0.0,28.0,112.0,2.0,0,60.85,6,0.1652
0.0,29.0,116.0,3.0,0,83.41,10,0.2221
0.0,28.0,137.0,7.0,0,81.82,7,0.1545
0.0,28.0,132.0,12.0,0,82.6,7,0.1959
0.0,28.0,142.0,0.0,0,106.81,9,0.2624
0.0,27.0,133.0,7.0,0,98.83,12,0.1998
0.0,27.0,128.0,10.0,0,100.15,7,0.1776
0.0,29.0,105.0,4.0,0,66.81,11,0.1989
0.0,27.0,118.0,5.0,0,105.09,7,0.199
0.0,28.0,113.0,4.0,0,88.17,4,0.2032
0.0,27.0,112.0,2.0,0,104.82,5,0.2132
0.0,29.0,149.0,4.0,0,79.31,9,0.1792
0.0,30.0,120.0,4.0,0,68.23,6,0.2338
0.0,32.0,145.0,7.0,0,97.3,7,0.2049
0.0,30.0,132.0,12.0,0,103.27,9,0.2145
0.0,26.0,140.0,9.0,0,73.62,9,0.1874
1.8,28.0,125.0,4.0,0,88.13,8,0.2257
0.0,26.0,129.0,8.0,0,69.95,6,0.1949
2.96,25.0,125.0,2.0,0,70.68,6,0.2056
0.44,26.0,110.0,4.0,0,81.09,6,0.1813
0.0,27.0,136.0,14.0,0,90.79,6,0.1801
0.19,28.0,114.0,7.0,0,78.39,10,0.2138
0.91,27.0,101.0,12.0,0,96.69,8,0.1911
0.0,25.0,132.0,12.0,0,87.7,8,0.1829
0.0,25.0,109.0,8.0,0,103.54,11,0.1871
0.0,24.0,147.0,0.0,0,106.72,11,0.214
0.0,23.0,148.0,1.0,0,103.57,10,0.1874
0.0,23.0,146.0,13.0,0,93.29,6,0.1976
0.0,24.0,119.0,6.0,0,87.25,9,0.2003
0.0,24.0,101.0,4.0,0,97.22,6,0.1617
0.0,22.0,146.0,13.0,0,100.86,6,0.1706
0.0,24.0,121.0,4.0,0,69.13,4,0.2067
0.0,22.0,148.0,1.0,0,90.34,5,0.1853
0.0,22.0,148.0,1.0,0,102.8,6,0.2211
0.0,22.0,143.0,13.0,0,67.72,8,0.2193
0.0,22.0,115.0,9.0,0,63.82,6,0.2144
0.0,23.0,119.0,6.0,0,61.76,6,0.2364
0.0,25.0,143.0,13.0,0,102.64,6,0.1983
0.0,26.0,116.0,3.0,0,81.33,7,0.213
0.0,20.0,108.0,0.0,0,109.46,4,0.1883
0.0,21.0,128.0,10.0,0,86.91,6,0.249
0.0,20.0,147.0,0.0,0,90.36,8,0.2397
0.0,22.0,135.0,7.0,0,94.43,8,0.2002
0.0,24.0,129.0,8.0,0,62.63,9,0.2077
0.0,20.0,105.0,4.0,0,83.49,8,0.2272
0.13,21.0,131.0,4.0,0,84.94,7,0.1971
0.0,18.0,150.0,7.0,0,101.34,8,0.1869
0.0,15.0,107.0,1.0,0,65.47,8,0.2175
0.0,17.0,126.0,4.0,0,87.17,12,0.2016
0.0,18.0,144.0,4.0,0,100.11,9,0.2037
0.0,18.0,137.0,7.0,0,97.98,7,0.1833
0.0,21.0,135.0,7.0,0,64.88,8,0.1656
